file	lines	last_commit_date	days_since_change	has_oas_import	ref_count	category	suggested_action	reason
a2a_tools.ml	858	2026-03-18	0	no	13	a2a	active	recently_modified
activity_feed.ml	279	2026-03-16	1	no	1	infrastructure	active	recently_modified
adaptive_thresholds.ml	196	2026-03-18	0	no	1	infrastructure	active	recently_modified
ag_ui.ml	228	2026-03-13	4	no	2	infrastructure	active	recently_modified
agent_card.ml	446	2026-03-16	1	no	8	infrastructure	active	recently_modified
agent_economy.ml	305	2026-03-18	0	no	4	infrastructure	active	recently_modified
agent_ecosystem.ml	404	2026-03-13	4	no	1	infrastructure	active	recently_modified
agent_health.ml	133	2026-03-13	4	no	3	infrastructure	active	recently_modified
agent_identity.ml	419	2026-03-13	4	no	10	infrastructure	active	recently_modified
agent_neo4j.ml	438	2026-03-16	1	no	0	infrastructure	active	recently_modified
agent_planner.ml	274	2026-03-18	0	no	1	infrastructure	active	recently_modified
agent_registry_eio.ml	222	2026-03-17	0	no	2	infrastructure	active	recently_modified
agent_reputation.ml	254	2026-03-16	1	no	1	infrastructure	active	recently_modified
agent_swarm_client.ml	251	2026-03-15	2	no	5	agent_swarm	active	recently_modified
agent_swarm_contract.ml	533	2026-03-18	0	yes	4	agent_swarm	active	oas_integrated
agent_swarm_dev_tools.ml	361	2026-03-18	0	yes	3	agent_swarm	active	oas_integrated
agent_swarm_external_agent.ml	93	2026-03-16	1	no	1	agent_swarm	active	recently_modified
agent_swarm_fleet.ml	210	2026-03-16	1	yes	1	agent_swarm	active	oas_integrated
agent_swarm_live_harness.ml	450	2026-03-16	1	yes	4	agent_swarm	active	oas_integrated
agent_swarm_prompts.ml	186	2026-03-17	0	no	3	agent_swarm	active	recently_modified
agent_swarm_runner.ml	133	2026-03-18	0	yes	0	agent_swarm	active	oas_integrated
agent_swarm_swarm.ml	459	2026-03-18	0	yes	2	agent_swarm	active	oas_integrated
agent_swarm_tool_input.ml	54	2026-03-13	4	no	2	agent_swarm	active	recently_modified
agent_swarm_tools.ml	34	2026-03-16	1	yes	1	agent_swarm	active	oas_integrated
agent_tool_surfaces.ml	637	2026-03-18	0	no	10	infrastructure	active	recently_modified
anti_fake.ml	232	2026-03-18	0	no	0	infrastructure	active	recently_modified
async_spawn.ml	162	2026-03-18	0	no	0	infrastructure	active	recently_modified
