file	lines	category	action	reason	has_oas	ref_count
a2a_tools.ml	858	a2a	active	high_dependency_13	no	13
activity_feed.ml	279	infrastructure	active	referenced_infra	no	1
adaptive_thresholds.ml	196	infrastructure	active	referenced_infra	no	1
ag_ui.ml	228	infrastructure	active	referenced_infra	no	2
agent_card.ml	446	infrastructure	active	core_coordination	no	8
agent_economy.ml	305	infrastructure	active	core_coordination	no	4
agent_ecosystem.ml	404	infrastructure	active	core_coordination	no	1
agent_health.ml	133	infrastructure	active	core_coordination	no	3
agent_identity.ml	419	infrastructure	active	core_coordination	no	10
agent_neo4j.ml	438	infrastructure	active	core_coordination	no	0
agent_planner.ml	274	infrastructure	active	core_coordination	no	1
agent_registry_eio.ml	222	infrastructure	active	core_coordination	no	2
agent_reputation.ml	254	infrastructure	active	core_coordination	no	1
agent_swarm_client.ml	251	agent_swarm	active	core_coordination	no	5
agent_swarm_contract.ml	533	agent_swarm	active	core_coordination	yes	4
agent_swarm_dev_tools.ml	361	agent_swarm	active	core_coordination	yes	3
agent_swarm_external_agent.ml	93	agent_swarm	active	core_coordination	no	1
agent_swarm_fleet.ml	210	agent_swarm	active	core_coordination	yes	1
agent_swarm_live_harness.ml	450	agent_swarm	active	core_coordination	yes	4
agent_swarm_prompts.ml	186	agent_swarm	active	core_coordination	no	3
agent_swarm_runner.ml	133	agent_swarm	active	core_coordination	yes	0
agent_swarm_swarm.ml	459	agent_swarm	active	core_coordination	yes	2
agent_swarm_tool_input.ml	54	agent_swarm	active	core_coordination	no	2
agent_swarm_tools.ml	34	agent_swarm	active	core_coordination	yes	1
agent_tool_surfaces.ml	637	infrastructure	active	core_coordination	no	10
anti_fake.ml	232	infrastructure	archive	unreferenced_infra	no	0
async_spawn.ml	162	infrastructure	archive	unreferenced_infra	no	0
audit_log.ml	352	infrastructure	active	referenced_infra	no	7
auth.ml	410	infrastructure	active	referenced_infra	no	6
auto_recall.ml	392	infrastructure	active	referenced_infra	no	2
auto_responder.ml	335	infrastructure	active	referenced_infra	no	1
autonomy_adjuster.ml	219	infrastructure	archive	unreferenced_infra	no	0
autoresearch_types.ml	81	types	active	types_or_config	no	0
autoresearch.ml	869	infrastructure	archive	unreferenced_infra	yes	0
backend_core.ml	353	server	active	core	no	1
backend_eio_compression.ml	113	server	active	core	no	0
